"State","NAICS.id","All establishments","Establishments not operated for the entire year","Establishments operated for the entire year","Score","NAICS.display-label","RCPTOT","PAYANN","PAYQTR1","EMP","ADMIN_PCT","IMPUT_PCT"
"AL","443141",136,7,127,718,"Household appliance stores","186154","20674","5253","838","24.1","3.5"
"AL","443142",511,51,443,2707,"Electronics stores","862841","88147","21142","3908","8.9","5.0"
"AL","444",1385,78,1290,10105,"Building material and garden equipment and supplies dealers","4446675","519485","129716","18872","9.8","3.0"
"AL","4441",1013,53,952,7527,"Building material and supplies dealers","3656864","452180","113467","16285","8.0","2.8"
"AL","44411",163,2,161,1524,"Home centers","2020418","237143","60050","10032","1.0","1.3"
"AL","444110",163,2,161,1524,"Home centers","2020418","237143","60050","10032","1.0","1.3"
"AL","44412",125,2,122,909.75,"Paint and wallpaper stores","142987","17480","4387","476","5.2","1.0"
"AL","444120",125,2,122,909.75,"Paint and wallpaper stores","142987","17480","4387","476","5.2","1.0"
"AL","44413",246,23,223,1460.5,"Hardware stores","226980","33781","7975","1383","33.6","3.8"
"AL","444130",246,23,223,1460.5,"Hardware stores","226980","33781","7975","1383","33.6","3.8"
"AL","44419",479,32,446,3632.75,"Other building material dealers","1266479","163776","41055","4394","14.8","5.3"
"AL","444190",479,32,446,3632.75,"Other building material dealers","1266479","163776","41055","4394","14.8","5.3"
"AL","4442",372,34,338,2578,"Lawn and garden equipment and supplies stores","789811","67305","16249","2587","18.1","4.0"
"AL","44421",103,11,92,672.5,"Outdoor power equipment stores","212305","20254","4619","637","20.3","2.7"
"AL","444210",103,11,92,672.5,"Outdoor power equipment stores","212305","20254","4619","637","20.3","2.7"
"AL","44422",269,23,246,1905.5,"Nursery, garden center, and farm supply stores","577506","47051","11630","1950","17.3","4.5"
"AL","444220",269,23,246,1905.5,"Nursery, garden center, and farm supply stores","577506","47051","11630","1950","17.3","4.5"
"AL","445",1598,164,1304,10414.5,"Food and beverage stores","6154753","597614","153887","29631","11.9","5.7"
"AL","4451",1055,132,851,7201.5,"Grocery stores","5568009","555329","143509","27447","11.7","5.8"
"AL","44511",766,71,673,6148.5,"Supermarkets and other grocery (except convenience) stores","5340811","543931","141029","26715","10.3","5.4"
"AL","445110",766,71,673,6148.5,"Supermarkets and other grocery (except convenience) stores","5340811","543931","141029","26715","10.3","5.4"
"AL","44512",289,86,178,1053,"Convenience stores","227198","11398","2480","732","42.8","16.7"
"AL","445120",289,86,178,1053,"Convenience stores","227198","11398","2480","732","42.8","16.7"
"AL","4452",178,40,134,772.5,"Specialty food stores","117078","16736","4034","1040","30.6","12.2"
"AL","4453",365,38,319,2440.5,"Beer, wine, and liquor stores","469666","25549","6344","1144","10.1","1.9"
"AL","44531",365,38,319,2440.5,"Beer, wine, and liquor stores","469666","25549","6344","1144","10.1","1.9"
"AL","445310",365,38,319,2440.5,"Beer, wine, and liquor stores","469666","25549","6344","1144","10.1","1.9"
"AL","446",1710,105,1554,12227.25,"Health and personal care stores","4838425","563511","132767","17355","16.0","3.5"
"AL","4461",1710,105,1554,12227.25,"Health and personal care stores","4838425","563511","132767","17355","16.0","3.5"
"AL","44611",983,60,909,8671.25,"Pharmacies and drug stores","4315300","471455","110626","13374","15.3","2.9"
"AL","446110",983,60,909,8671.25,"Pharmacies and drug stores","4315300","471455","110626","13374","15.3","2.9"
"AL","44612",278,28,245,1399.25,"Cosmetics, beauty supplies, and perfume stores","194740","24682","5916","1605","18.3","8.1"
"AL","446120",278,28,245,1399.25,"Cosmetics, beauty supplies, and perfume stores","194740","24682","5916","1605","18.3","8.1"
"AL","44613",148,11,135,712.75,"Optical goods stores","85868","17880","4376","786","18.5","2.9"
"AL","446130",148,11,135,712.75,"Optical goods stores","85868","17880","4376","786","18.5","2.9"
"AL","44619",301,32,265,1444,"Other health and personal care stores","242517","49494","11849","1590","27.1","10.4"
"AL","446191",106,11,95,469,"Food (health) supplement stores","50505","7134","1662","421","18.2","11.6"
